05/29/09 01:34:19 classRpmEngine failed to add to transaction  /var/cache/axtu/updates-released/packages/glibc-2.5-34.1AXS3.i686.rpm
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2()(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2(GLIBC_2.2.5)(64bit) is needed by bash-3.2-24AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdbus-1.so.3()(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libnsl.so.1()(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0()(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.2.5)(64bit) is needed by bind-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libnsl.so.1()(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0()(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.2.5)(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.3.2)(64bit) is needed by bind-libs-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libnsl.so.1()(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0()(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libpthread.so.0(GLIBC_2.2.5)(64bit) is needed by bind-utils-9.3.4-10.P1.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by binutils-2.17.50.0.6-9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by binutils-2.17.50.0.6-9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by binutils-2.17.50.0.6-9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by binutils-2.17.50.0.6-9AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libcrypt.so.1()(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libcrypt.so.1(GLIBC_2.2.5)(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6(GLIBC_2.2.5)(64bit) is needed by busybox-anaconda-1.2.0-4.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6(GLIBC_2.2.5)(64bit) is needed by cairo-1.2.4-5.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by cdrecord-2.01-10.7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by cdrecord-2.01-10.7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by cdrecord-2.01-10.7AXS3.x86_64
